Genome ID,Genome Name,Other Names,NCBI Taxon ID,Taxon Lineage IDs,Taxon Lineage Names,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Species,Genome Status,Strain,Serovar,Biovar,Pathovar,MLST,Segment,Subtype,H_type,N_type,H1 Clade Global,H1 Clade US,H5 Clade,pH1N1-like,Lineage,Clade,Subclade,Other Typing,Culture Collection,Type Strain,Reference,Genome Quality,Completion Date,Publication,Authors,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,Sequencing Center,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosome,Plasmids,Contigs,Size,GC Content,Contig L50,Contig N50,TRNA,RRNA,Mat Peptide,CDS,Coarse Consistency,Fine Consistency,CheckM Contamination,CheckM Completeness,Genome Quality Flags,Isolation Source,Isolation Comments,Collection Date,Collection Year,Season,Isolation Country,State/Province,County,City,Geographic Group,Geographic Location,Other Environmental,Host Name,Host Common Name,Host Sex,Host Age,Host Health,Host Group,Lab Host,Passage,Other Clinical,Additional Metadata,Comments,Date Inserted,Date Modified
1280.23639,Staphylococcus aureus strain 74,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,74,,,,MLST.saureus.20,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134096,GCA_009696725.1,,WIPM00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,70.0x,SPAdes v. MAR-2019,,,34,2744089,32.701744,5.0,203653.0,54.0,5.0,,2749,98.13,97.89,0.19,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Tula,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:24:15.926Z,2019-12-31T05:24:15.926Z
1280.23641,Staphylococcus aureus strain 70,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,70,,,,MLST.saureus.20,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13133908,GCA_009696735.1,,WIPL00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,50.0x,SPAdes v. FEB-2019,,,40,2756061,32.714806,3.0,366440.0,59.0,7.0,,2753,98.13,97.83,0.19,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Tula,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:26:32.839Z,2019-12-31T05:26:32.839Z
1280.23642,Staphylococcus aureus strain 88,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,88,,,,MLST.saureus.20,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134217,GCA_009696765.1,,WIPN00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,50.0x,SPAdes v. FEB-2019,,,37,2759556,32.72856,3.0,366440.0,59.0,7.0,,2757,98.13,97.83,0.19,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Tula,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:27:25.401Z,2019-12-31T05:27:25.401Z
1280.23643,Staphylococcus aureus strain 18-17,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,18-17,,,,MLST.saureus.97,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134339,GCA_009696935.1,,WIPW00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,60.0x,SPAdes v. MAR-2019,,,53,2747437,32.719696,7.0,123287.0,59.0,3.0,,2762,98.13,97.83,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Kirov,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:24:04.200Z,2019-12-31T05:24:04.200Z
1280.23644,Staphylococcus aureus strain 724,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,724,,,,MLST.saureus.15,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134321,GCA_009696915.1,,WIPV00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,50.0x,SPAdes v. MAR-2019,,,42,2670471,32.67963,6.0,200214.0,55.0,1.0,,2658,98.07,97.89,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Novosibirsk,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:24:08.772Z,2019-12-31T05:24:08.772Z
1280.23645,Staphylococcus aureus strain 23,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,23,,,,,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134308,GCA_009696905.1,,WIPS00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,50.0x,SPAdes v. mar-2019,,,69,2745631,32.845966,10.0,89575.0,56.0,3.0,,2775,98.13,97.83,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Moscow,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:24:03.067Z,2019-12-31T05:24:03.067Z
1280.23646,Staphylococcus aureus strain 812,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,812,,,,MLST.saureus.15,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134320,GCA_009696875.1,,WIPU00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,45.0x,SPAdes v. MAR-2019,,,43,2671502,32.684834,6.0,200216.0,55.0,2.0,,2661,98.07,97.89,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Novosibirsk,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:24:05.347Z,2019-12-31T05:24:05.347Z
1280.23647,Staphylococcus aureus strain 8656,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,8656,,,,MLST.saureus.479,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134218,GCA_009696775.1,,WIPO00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,50.0x,SPAdes v. MAR-2019,,,34,2713317,32.69039,4.0,232744.0,58.0,3.0,,2743,97.95,97.41,0.57,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Moscow,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:24:06.461Z,2019-12-31T05:24:06.461Z
1280.23648,Staphylococcus aureus strain 1838,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,1838,,,,MLST.saureus.737,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134306,GCA_009696785.1,,WIPQ00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,45.0x,SPAdes v. MAR-2019,,,49,2722478,32.722725,8.0,148482.0,61.0,3.0,,2715,98.07,97.77,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Udmurtia,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:24:09.954Z,2019-12-31T05:24:09.954Z
1280.23649,Staphylococcus aureus strain 615,,1280,131567;2;1783272;1239;91061;1385;90964;1279;1280,cellular organisms;Bacteria;Bacillati;Bacillota;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;Staphylococcus aureus,Bacteria,Bacillati,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus aureus,WGS,615,,,,,,,,,,,,,,,,,,,,Good,2019-11-22T00:00:00Z,,,PRJNA579804,SAMN13134304,GCA_009696825.1,,WIPP00000000,Shemyakin and Ovchinnikov Institute of Bioorganic Chemistry of the Russian Academy of Sciences,WGS,Illumina MiSeq,50.0x,SPAdes v. MAR-2019,,,37,2742906,32.66058,5.0,236144.0,56.0,3.0,,2742,98.13,97.95,,99.81,,milk,,2018,2018,,Russia,,,,Europe,Russia: Perm,,Bos taurus,Cow,,,,Nonhuman Mammal,,,,sample_type:cell culture,The aim of this work was to investigate the virulent potential of Staphylococcus aureus from cow's milk in Russia and to determine their possible participation in the induction of mastitis in cow.,2019-12-31T05:24:11.157Z,2019-12-31T05:24:11.157Z
